Record_Id,Question_Id,Question_Text,Quetion_Type,Question_Start_Word,Answer_ID,Full_Answer,Expert_Commentary,Hadith_Full_Answer,Hadith_Matn,Answer-Instances ,Source_Name,Source_Link,Credibility,Question_ID_in_the_Orignal_Dataset
1,1,كيف نعبد الله؟,D ,كيف,1,كَمَا أمرنا الله ورسوله مَعَ الإخلاص ( وَمَا أُمروا إِلاَّ ليَعبدوا اللهَ مخلصينَ لَهُ الدّين) [البيّنة: 5].   ( مَن عمِلَ عمَلاً لَيْسَ عَلَيهِ أمْرُنا فَهُوَ رَدٌّ) [أَيْ مردود] (رواه مسلم),كَمَا أمرنا الله ورسوله مَعَ الإخلاص,( مَن عمِلَ عمَلاً لَيْسَ عَلَيهِ أمْرُنا فَهُوَ رَدٌّ) [أَيْ مردود] (رواه مسلم), مَن عمِلَ عمَلاً لَيْسَ عَلَيهِ أمْرُنا فَهُوَ رَدٌّ, مَن عمِلَ عمَلاً لَيْسَ عَلَيهِ أمْرُنا فَهُوَ رَدٌّ,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,2
2,2,هل نعبد الله خوفا وطمعا؟,C ,هل,1,نعم نعبده خوفاً وطمعاً (وادْعوه خَوفاً وطَمَعاً) أَيْ خوفاً من نارهِ وطمعاً فِي جنّته [الأعراف: 56].   ( أسألُ اللهَ الجنّة وأعوذ بِهِ مِن النّار) (صحيح رواه أبو داود),نعم نعبده خوفاً وطمعاً,( أسألُ اللهَ الجنّة وأعوذ بِهِ مِن النّار) (صحيح رواه أبو داود), أسألُ اللهَ الجنّة وأعوذ بِهِ مِن النّار, أسألُ اللهَ الجنّة وأعوذ بِهِ مِن النّار,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,3
3,3,ما هو الإحسان في العبادة؟,D ,ما,1,مراقبة الله وحده الَّذِي يرانا ( إنّ الله كَانَ عليكم رقيباً) [النّساء]. مراقبة الله وحده الَّذِي يرانا (الَّذِي يراك حينَ تقومُ) [الشّعراء].   ( الإحسانُ أَنْ تعبُدَ اللهَ كأنّك تراه فإن لَمْ تكن تراهُ فإنَّه يراك) (رواه مسلم),مراقبة الله وحده الَّذِي يرانا,( الإحسانُ أَنْ تعبُدَ اللهَ كأنّك تراه فإن لَمْ تكن تراهُ فإنَّه يراك) (رواه مسلم), الإحسانُ أَنْ تعبُدَ اللهَ كأنّك تراه فإن لَمْ تكن تراهُ فإنَّه يراك,أَنْ تعبُدَ اللهَ كأنّك تراه فإن لَمْ تكن تراهُ فإنَّه يراك,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,4
4,4,ما معنى لا إله إلا الله؟,D ,ما,1,لاَ معبود بحقّ إِلاَّ الله ( ذَلِكَ بأنّ اللهَ هو الحقُّ وأنّ مَا يدعونَ مِنْ دونهِ الباطل) [لقمان: 30].   ( من قَالَ لآ إله إِلاَّ الله وكَفَرَ بِمَا يُعبدُ مِن دون الله حَرُمَ مالُه ودمُه) (رواه مسلم),لاَ معبود بحقّ إِلاَّ الله,( من قَالَ لآ إله إِلاَّ الله وكَفَرَ بِمَا يُعبدُ مِن دون الله حَرُمَ مالُه ودمُه) (رواه مسلم), من قَالَ لآ إله إِلاَّ الله وكَفَرَ بِمَا يُعبدُ مِن دون الله حَرُمَ مالُه ودمُه, من قَالَ لآ إله إِلاَّ الله وكَفَرَ بِمَا يُعبدُ مِن دون الله,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,7
5,5,ما هو التوحيد في صفات الله؟,D ,ما,1,إثبات مَا وصَفَ اللهُ بِهِ نفسَه أَوْ رسوله ( لَيْسَ كمثله شيءٌ وَهُوَ السّميع البصيرُ) [الشورى: 11].   (ينزِلُ ربُّنا تبارك وتعالى فِي كلّ ليلةٍ إِلَى السّمَاء الدُّنْيَا) [نزولاً يليق بجلاله] (متّفق عليه),إثبات مَا وصَفَ اللهُ بِهِ نفسَه أَوْ رسوله,(ينزِلُ ربُّنا تبارك وتعالى فِي كلّ ليلةٍ إِلَى السّمَاء الدُّنْيَا) [نزولاً يليق بجلاله] (متّفق عليه),ينزِلُ ربُّنا تبارك وتعالى فِي كلّ ليلةٍ إِلَى السّمَاء الدُّنْيَا,ينزِلُ ربُّنا تبارك وتعالى فِي كلّ ليلةٍ إِلَى السّمَاء الدُّنْيَا,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,8
6,6,ما هي فائدة التوحيد للمسلم؟,D ,ما,1,الهداية فِي الدُّنْيَا والأمن فِي الآخرة (الَّذِينَ آمنوا ولم يلبِسوا إيمانهُم بظلمٍ أولئك لهم الأمنُ وهُم مهتدون) [الأنعام].   ( حَقُّ العباد عَلَى الله أَنْ لاَ يُعَذّب من لاَ يُشرك بِهِ شيئاً) (متّفق عَلَيهِ),الهداية فِي الدُّنْيَا والأمن فِي الآخرة,( حَقُّ العباد عَلَى الله أَنْ لاَ يُعَذّب من لاَ يُشرك بِهِ شيئاً) (متّفق عَلَيهِ), حَقُّ العباد عَلَى الله أَنْ لاَ يُعَذّب من لاَ يُشرك بِهِ شيئاً, أَنْ لاَ يُعَذّب من لاَ يُشرك بِهِ شيئاً,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,9
7,7,أين الله؟,F,أين,1,الله عَلَى السّمَاء فَوْقَ العرش (الرَّحْمن عَلَى العرش استوى) (أَيْ علا وارتفع كَمَا جاء فِي البخاري) [طه: 5].   ( إنّ الله كتب كتاباً إنّ رحمتي سبقت غضبي فَهُوَ مكتوبٌ عنده فَوْقَ العرش) (رواه البخاري),الله عَلَى السّمَاء فَوْقَ العرش,( إنّ الله كتب كتاباً إنّ رحمتي سبقت غضبي فَهُوَ مكتوبٌ عنده فَوْقَ العرش) (رواه البخاري), إنّ الله كتب كتاباً إنّ رحمتي سبقت غضبي فَهُوَ مكتوبٌ عنده فَوْقَ العرش, فَهُوَ مكتوبٌ عنده فَوْقَ العرش,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,10
8,8,هل الله معنا بذاته أم بعلمه؟,C ,هل,1,الله معنا بعلمه يسمعنا ويَرانا ( قَالَ لاَ تخافا إنّني مَعَكُما أسْمَعُ وأرى) (أَيْ بحفظي ونصري وتأييدي) [طه].   ( إنّكم تدعون سميعاً قريباً وَهُوَ معكم) [أَيْ بعلمه يسمعكم ويراكم] (رواه مسلم),الله معنا بعلمه يسمعنا ويَرانا,( إنّكم تدعون سميعاً قريباً وَهُوَ معكم) [أَيْ بعلمه يسمعكم ويراكم] (رواه مسلم), إنّكم تدعون سميعاً قريباً وَهُوَ معكم, إنّكم تدعون سميعاً قريباً وَهُوَ معكم,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,11
9,9,ما هو أعظم الذنوب؟,D ,ما,1,أعظم الذّنوب الشرك الأكبر ( يَا بُنيَّ لاَ تُشْرِك باللهِ إن الشّركَ لظُلْمٌ عظيم) [لقمان: 13].   (سُئِلَ صلى الله عليه وسلم أيُّ الذَّنب أعظم؟ قَالَ: أَنْ تدعو للهِ ندّاً وَهُوَ خلقك) (رواه مسلم),أعظم الذّنوب الشرك الأكبر,(سُئِلَ صلى الله عليه وسلم أيُّ الذَّنب أعظم؟ قَالَ: أَنْ تدعو للهِ ندّاً وَهُوَ خلقك) (رواه مسلم),سُئِلَ صلى الله عليه وسلم أيُّ الذَّنب أعظم؟ قَالَ: أَنْ تدعو للهِ ندّاً وَهُوَ خلقك,أَنْ تدعو للهِ ندّاً وَهُوَ خلقك,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,12
10,10,ما هو الشرك الأكبر؟,D ,ما,1,هُوَ صرف العبادة لغير الله كالدّعاء (قُلْ إنّما أدعوا ربِّي وَلاَ أُشركُ بِهِ أحداً) [الجن: 20].   ( أكبرُ الكبائر الإشراكُ باللهِ) (رواه البخاري),هُوَ صرف العبادة لغير الله كالدّعاء,( أكبرُ الكبائر الإشراكُ باللهِ) (رواه البخاري), أكبرُ الكبائر الإشراكُ باللهِ,الإشراكُ باللهِ,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,13
